index	stage	label	log_file
01	01_g1_smallcnn	clean	logs/run2_fix_20260620_224653/01_01_g1_smallcnn_clean.log
01	01_g1_smallcnn	fgsm	logs/run2_fix_20260620_224653/01_01_g1_smallcnn_fgsm.log
01	01_g1_smallcnn	pgd20	logs/run2_fix_20260620_224653/01_01_g1_smallcnn_pgd20.log
01	01_g1_smallcnn	aalite	logs/run2_fix_20260620_224653/01_01_g1_smallcnn_aalite.log
01	01_g1_resnet18	clean	logs/run2_fix_20260620_224653/01_01_g1_resnet18_clean.log
01	01_g1_resnet18	fgsm	logs/run2_fix_20260620_224653/01_01_g1_resnet18_fgsm.log
01	01_g1_resnet18	pgd20	logs/run2_fix_20260620_224653/01_01_g1_resnet18_pgd20.log
01	01_g1_resnet18	aalite	logs/run2_fix_20260620_224653/01_01_g1_resnet18_aalite.log
01	02_bias_aa_dev_aa	pgd_at_aalite_aa_subset	logs/run2_fix_20260620_224653/01_02_bias_aa_dev_aa_pgd_at_aalite_aa_subset.log
01	02_bias_aa_dev_aa	fixed_mixed_at_aalite_aa_subset	logs/run2_fix_20260620_224653/01_02_bias_aa_dev_aa_fixed_mixed_at_aalite_aa_subset.log
01	03_trap	trap_a_logit_aalite	logs/run2_fix_20260620_224653/01_03_trap_trap_a_logit_aalite.log
01	03_trap	trap_b_random_eot_aalite	logs/run2_fix_20260620_224653/01_03_trap_trap_b_random_eot_aalite.log
01	03_trap	trap_b_square	logs/run2_fix_20260620_224653/01_03_trap_trap_b_square.log
01	04_aggregate	aggregate_results	logs/run2_fix_20260620_224653/01_04_aggregate_aggregate_results.log
01	05_figures	make_figures	logs/run2_fix_20260620_224653/01_05_figures_make_figures.log
01	06_nature_figures	make_nature_figures	logs/run2_fix_20260620_224653/01_06_nature_figures_make_nature_figures.log
01	07_final_check	tables_figures_and_sanity	logs/run2_fix_20260620_224653/01_07_final_check_tables_figures_and_sanity.log
