experiment_group,defense,epoch_budget,gpu_hour_budget,gpu_name,batch_size,amp,session_id,max_wall_seconds,equal_budget_invalid,clean_acc,r_lite,clean_drop,robust_gain,gain_per_gpu_hour
g1_structure,standard,,0.5895031016392427,NVIDIA GeForce RTX 3090 Ti,128,True,996f237c3641,0,True,0.908,0.0,0.0,0.0,0.0
g2_defense,fgsm_at,,1.7373199214993251,NVIDIA GeForce RTX 3090 Ti,128,True,2551c65a1005,0,True,0.783,0.396,0.125,0.396,0.2279372930106321
g2_defense,pgd_at,,1.7429524161651109,NVIDIA GeForce RTX 3090 Ti,128,True,08f0cceceaad,0,True,0.632,0.368,0.276,0.368,0.21113599923151266
g1_structure,standard,,0.518161962922766,NVIDIA GeForce RTX 3090 Ti,128,True,f0e5452b983a,0,True,0.901,0.0,0.007000000000000006,0.0,0.0
g5_equal_gpu_hours,fgsm_at,,0.729647602600356,NVIDIA GeForce RTX 3090 Ti,128,True,5420bddc2b31,3600,True,0.737,0.412,0.17100000000000004,0.412,0.5646561415835439
g1_structure,standard,,1.908737174706637,NVIDIA GeForce RTX 3090 Ti,128,True,d2798d666159,0,True,0.952,0.0,-0.04399999999999993,0.0,0.0
g2_defense,fixed_mixed_at,,1.2292807076923136,NVIDIA GeForce RTX 3090 Ti,128,True,1b95e0cbaf62,0,True,0.716,0.382,0.19200000000000006,0.382,0.3107508298223564
g5_equal_gpu_hours,fixed_mixed_at,,1.004024487302328,NVIDIA GeForce RTX 3090 Ti,128,True,e85440b34170,3600,True,0.704,0.374,0.20400000000000007,0.374,0.37250087495862294
g2_defense,standard,,1.1728183320832128,NVIDIA GeForce RTX 3090 Ti,128,True,a16c9ca49912,0,True,0.956,0.0,-0.04799999999999993,0.0,0.0
g5_equal_gpu_hours,pgd_at,,1.004530946342792,NVIDIA GeForce RTX 3090 Ti,128,True,5ca8a7006192,3600,True,0.52,0.317,0.388,0.317,0.31557016849914454
