exp_id,model,defense,seed,dataset_name,mode,clean_acc,fgsm_acc,pgd20_acc,pgd20_aalite_acc,pgd20_source,pgd20_subset_size,fgsm_subset_size,square_acc,square_subset_size,apgd_ce_acc,apgd_dlr_acc,r_lite,gap_over,train_time_sec,train_time_gpu_hours,checkpoint_path,status,errors,subset_size,max_eval_batches,batch_size,num_workers,eval_subset_id,gap_over_error,r_lite_scope,gpu_name,amp,session_id,max_wall_seconds,experiment_group
mobilenetv2_standard_seed0,mobilenetv2,standard,0,cifar10,real,0.908,0.0732,0.0,0.0,standalone_attack,5000,10000,,,0.0,0.0,0.0,0.0,2122.2111659012735,0.5895031016392427,checkpoints/mobilenetv2_standard_seed0/best.pt,ok,,1000,0,128,4,369ed5c7027b,,whitebox,NVIDIA GeForce RTX 3090 Ti,True,996f237c3641,0,g1_structure
preact_resnet18_fgsm_at_seed0,preact_resnet18,fgsm_at,0,cifar10,real,0.783,0.5009,0.4206,0.405,standalone_attack,5000,10000,,,0.396,0.417,0.396,0.009000000000000008,6254.351717397571,1.7373199214993251,checkpoints/preact_resnet18_fgsm_at_seed0/best.pt,ok,,1000,0,128,4,369ed5c7027b,,whitebox,NVIDIA GeForce RTX 3090 Ti,True,2551c65a1005,0,g2_defense
preact_resnet18_pgd_at_seed0,preact_resnet18,pgd_at,0,cifar10,real,0.632,0.3909,0.3794,0.399,standalone_attack,5000,10000,,,0.389,0.368,0.368,0.031000000000000028,6274.6286981943995,1.7429524161651109,checkpoints/preact_resnet18_pgd_at_seed0/best.pt,ok,,1000,0,128,4,369ed5c7027b,,whitebox,NVIDIA GeForce RTX 3090 Ti,True,08f0cceceaad,0,g2_defense
smallcnn_standard_seed0,smallcnn,standard,0,cifar10,real,0.901,0.0269,0.0,0.0,standalone_attack,5000,10000,,,0.0,0.0,0.0,0.0,1865.3830665219575,0.518161962922766,checkpoints/smallcnn_standard_seed0/best.pt,ok,,1000,0,128,4,369ed5c7027b,,whitebox,NVIDIA GeForce RTX 3090 Ti,True,f0e5452b983a,0,g1_structure
preact_resnet18_fgsm_at_seed1,preact_resnet18,fgsm_at,1,cifar10,real,0.737,,0.417,0.417,aalite_internal_1k,1000,,,,0.412,0.425,0.412,0.0050000000000000044,2626.7313693612814,0.729647602600356,checkpoints/preact_resnet18_fgsm_at_seed1/best.pt,ok,,1000,0,128,4,369ed5c7027b,,whitebox,NVIDIA GeForce RTX 3090 Ti,True,5420bddc2b31,3600,g5_equal_gpu_hours
preact_resnet18_standard_seed0_trap_random_eot,preact_resnet18,,0,cifar10,real,0.955,,0.0,0.0,aalite_internal_1k,1000,,0.878,500,0.054,0.057,0.0,0.0,,,checkpoints/preact_resnet18_standard_seed0/best.pt,ok,,1000,0,128,4,369ed5c7027b,,whitebox,,,,,
resnet18_standard_seed0,resnet18,standard,0,cifar10,real,0.952,0.3254,0.0,0.0,standalone_attack,5000,10000,,,0.0,0.0,0.0,0.0,6871.453828943893,1.908737174706637,checkpoints/resnet18_standard_seed0/best.pt,ok,,1000,0,128,4,369ed5c7027b,,whitebox,NVIDIA GeForce RTX 3090 Ti,True,d2798d666159,0,g1_structure
preact_resnet18_fixed_mixed_at_seed0,preact_resnet18,fixed_mixed_at,0,cifar10,real,0.716,0.4088,0.3758,0.383,standalone_attack,5000,10000,,,0.382,0.384,0.382,0.0010000000000000009,4425.410547692329,1.2292807076923136,checkpoints/preact_resnet18_fixed_mixed_at_seed0/best.pt,ok,,1000,0,128,4,369ed5c7027b,,whitebox,NVIDIA GeForce RTX 3090 Ti,True,1b95e0cbaf62,0,g2_defense
preact_resnet18_fixed_mixed_at_seed1,preact_resnet18,fixed_mixed_at,1,cifar10,real,0.704,,0.384,0.384,aalite_internal_1k,1000,,,,0.374,0.376,0.374,0.010000000000000009,3614.4881542883813,1.004024487302328,checkpoints/preact_resnet18_fixed_mixed_at_seed1/best.pt,ok,,1000,0,128,4,369ed5c7027b,,whitebox,NVIDIA GeForce RTX 3090 Ti,True,e85440b34170,3600,g5_equal_gpu_hours
preact_resnet18_standard_seed0,preact_resnet18,standard,0,cifar10,real,0.956,0.2503,0.0,0.0,standalone_attack,5000,10000,,,0.0,0.0,0.0,0.0,4222.145995499566,1.1728183320832128,checkpoints/preact_resnet18_standard_seed0/best.pt,ok,,1000,0,128,4,369ed5c7027b,,whitebox,NVIDIA GeForce RTX 3090 Ti,True,a16c9ca49912,0,g2_defense
preact_resnet18_standard_seed0_trap_logit,preact_resnet18,,0,cifar10,real,0.956,,0.892,0.892,aalite_internal_1k,1000,,,,0.889,0.0,0.0,0.892,,,checkpoints/preact_resnet18_standard_seed0/best.pt,ok,,1000,0,128,4,369ed5c7027b,,whitebox,,,,,
preact_resnet18_pgd_at_seed1,preact_resnet18,pgd_at,1,cifar10,real,0.52,,0.322,0.322,aalite_internal_1k,1000,,,,0.318,0.317,0.317,0.0050000000000000044,3616.311406834051,1.004530946342792,checkpoints/preact_resnet18_pgd_at_seed1/best.pt,ok,,1000,0,128,4,369ed5c7027b,,whitebox,NVIDIA GeForce RTX 3090 Ti,True,5ca8a7006192,3600,g5_equal_gpu_hours
